TX14/9/5-4C65,//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/41/TX14-9-5-4C65.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/2605/TX14%5E9%5E5.jpg,https://www.digikey.com/en/products/detail/ferroxcube/TX14-9-5-4C65/8021216,6322,Active,Ferroxcube,Toroid,4C65,"0.561"" (14.25mm)",0,0,35,12.3,430,"0.207"" (5.25mm)",-,±30%,Ungapped,0,Epoxy,2.84
B62152A0007X001,https://www.tdk-electronics.tdk.com/inf/80/db/fer/double_aperture_cores.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/18/B62152A7X1.jpg,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B62152A0007X001/3913404,713,Active,EPCOS - TDK Electronics,Multi-Hole (2),K1,-,140 nH,80,7.6,10.2,78,"0.244"" (6.20mm)","0.285"" (7.25mm)",±30%,Ungapped,0,Uncoated,0.75
B66423G0000X187,https://www.tdk-electronics.tdk.com/inf/80/db/fer/efd_30_15_9.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/734/B66423GX187.jpg,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B66423G0000X187/3914948,1152,Active,EPCOS - TDK Electronics,EFD,N87,-,0,0,0,0,0,"0.591"" (15.00mm)","1.181"" (30.00mm)",-,Ungapped,0,Uncoated,0
B64290L0618X830,https://www.tdk-electronics.tdk.com/inf/80/db/fer/r_25_3_14_8_10_0.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/953/B64290L0618X830.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B64290L0618X830/1830192,4990,Active,EPCOS - TDK Electronics,Toroid,N30,"1.047"" (26.60mm)",4.62 µH,4300,60.07,51.26,3079,"0.433"" (11.00mm)",-,±25%,Ungapped,0,Epoxy,1.17
B64290L0618X035,https://www.tdk-electronics.tdk.com/inf/80/db/fer/r_25_3_14_8_10_0.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/814/B64290L0618X035.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B64290L0618X035/1830190,5386,Active,EPCOS - TDK Electronics,Toroid,T35,"1.047"" (26.60mm)",5.4 µH,5000,60.07,51.26,3079,"0.433"" (11.00mm)",-,±25%,Ungapped,0,Epoxy,1.17
T60004L2016W620,https://vacuumschmelze.com/03_Documents/Datasheets%20-%20Drawings/Cores/L2016-W620.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/56/MFG_T60006L2102W468-and-T60004L2016W620.jpg,https://www.digikey.com/en/products/detail/vacuumschmelze/T60004L2016W620/11489518,30086,Active,VACUUMSCHMELZE,Toroid,-,"0.701"" (17.90mm)",15 µH,0,44.8,8,0,"0.315"" (8.00mm)",-,-,Ungapped,0,Epoxy,0
T60006L2017W515,https://vacuumschmelze.com/03_Documents/Datasheets%20-%20Drawings/Cores/L2017-W515.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/427/MFG_T60006L2100V082.jpg,https://www.digikey.com/en/products/detail/vacuumschmelze/T60006L2017W515/12530724,15508,Active,VACUUMSCHMELZE,Toroid,0,"0.756"" (19.20mm)",30 µH,0,47.3,11.8,0,"0.319"" (8.10mm)",0,0,Ungapped,0,Uncoated,0
B65525J0000R097,https://www.tdk-electronics.tdk.com/inf/80/db/fer/er_11_5.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/B65525JR87.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B65525J0000R097/3913744,10956,Active,EPCOS - TDK Electronics,ER,N97,-,1.2 µH,2300,14.1,12.4,174,"0.098"" (2.50mm)","0.433"" (11.00mm)","-20%, +30%",Ungapped,1086,Uncoated,1.1
4078377511,https://www.fair-rite.com/wp-content/uploads/2019/11/4078377511cat.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/875/4078377511.jpg,https://www.digikey.com/en/products/detail/fair-rite-products-corp/4078377511/8594180,15372,Active,Fair-Rite Products Corp.,ROD,78,"0.374"" (9.50mm)",0,2300,25,7.07,0,-,"2.756"" (70.00mm)",-,Ungapped,29,Uncoated,0
B65805J0000R087,https://www.tdk-electronics.tdk.com/inf/80/db/fer/rm_5.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/13/B65805JR.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B65805J0000R087/3914068,747,Active,EPCOS - TDK Electronics,RM,N87,-,2 µH,2200,22.1,23.8,526,"0.207"" (5.25mm)","0.575"" (14.60mm)","-20%, +30%",Ungapped,1480,Uncoated,0.93
B62152A0004X001,https://www.tdk-electronics.tdk.com/inf/80/db/fer/double_aperture_cores.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/18/B62152A4X1.jpg,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B62152A0004X001/3913402,2379,Active,EPCOS - TDK Electronics,Multi-Hole (2),K1,-,190 nH,80,15.3,28.4,435,"0.327"" (8.30mm)","0.571"" (14.50mm)",±30%,Ungapped,0,Uncoated,0.54
B64290L0618X038,https://www.tdk-electronics.tdk.com/inf/80/db/fer/r_25_3_14_8_10_0.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/1019/B64290L0618X038.JPG,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B64290L0618X038/1830191,2111,Active,EPCOS - TDK Electronics,Toroid,T38,"1.047"" (26.60mm)",10.7 µH,10000,60.07,51.26,3079,"0.433"" (11.00mm)",-,±30%,Ungapped,0,Epoxy,1.17
B65541D0160A048,https://www.tdk-electronics.tdk.com/inf/80/db/fer/p_14_8.pdf,https://mm.digikey.com/Volume0/opasdata/d220001/medias/images/3717/MFG_B65541D0100A033.jpg,https://www.digikey.com/en/products/detail/epcos-tdk-electronics/B65541D0160A048/3913774,8139,Active,EPCOS - TDK Electronics,P (Pot Core),N48,"0.563"" (14.30mm)",160 nH,0,20,25,500,"0.167"" (4.25mm)",-,±3%,Gapped,102,Uncoated,0.8
